product_name,product_series
MS495-100,1SAM550000R1010
MS495-90,1SAM550000R1009
MS495-75,1SAM550000R1008
MS165-65,1SAM451000R1017
MS165-54,1SAM451000R1016
MS165-42,1SAM451000R1015
MS132-32,1SAM350000R1015
MS132-20,1SAM350000R1013
MS132-25,1SAM350000R1014
MS116-12,1SAM250000R1012
MS116-16,1SAM250000R1011
MS116-10,1SAM250000R1010
MS116-6.3,1SAM250000R1009
MS116-4.0,1SAM250000R1008
MS116-2.5,1SAM250000R1007
MS116-1.6,1SAM250000R1006
MS116-1.0,1SAM250000R1005
MS116-0.63,1SAM250000R1004
MS116-0.4,1SAM250000R1003
MS116-0.25,1SAM250000R1002
MS116-0.16,1SAM250000R1001
